image_path,R,G,B,contrast,dissimilarity,homogeneity,energy,correlation
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,/home/darmaputra/Downloads/Telor/web-EggQTrack/Backend/uploads/1742032013_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,./uploads/1742031630_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,./uploads/1742031630_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742056976_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742057158_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742057175_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742057213_ktr.jpg
121.6069890327355,93.28156310542377,70.44318474727065,67.34207908014588,4.971244150999951,0.37087661490200835,0.20969480827008405,0.9920428545403885,uploads/1742057283_egg.jpg
121.6069890327355,93.28156310542377,70.44318474727065,67.34207908014588,4.971244150999951,0.37087661490200835,0.20969480827008405,0.9920428545403885,uploads/1742058859_egg.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742058971_ktr.jpg
121.6069890327355,93.28156310542377,70.44318474727065,67.34207908014588,4.971244150999951,0.37087661490200835,0.20969480827008405,0.9920428545403885,uploads/1742059000_egg.jpg
121.6069890327355,93.28156310542377,70.44318474727065,67.34207908014588,4.971244150999951,0.37087661490200835,0.20969480827008405,0.9920428545403885,uploads/1742059094_egg.jpg
121.6069890327355,93.28156310542377,70.44318474727065,67.34207908014588,4.971244150999951,0.37087661490200835,0.20969480827008405,0.9920428545403885,uploads/1742059150_egg.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742059204_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742059217_ktr.jpg
117.29956770337388,85.31641996998809,50.71300630190428,3.225192248745377,1.051086594159934,0.6332751277078448,0.23150035844866243,0.9994967239328273,uploads/1742059271_ktr.jpg
